sleep_hours,anxiety_level,burnout_feeling,attended_lectures,homework_completion_rate,hours_studied,course_complexity,exam_score
4,4,1,26.09,1.53,18,10,40.8
3,8,1,64.24,2.65,19,8,30.74
1,3,1,12.85,81.12,10,5,43.91
7,10,0,19.58,6.94,13,2,34.77
2,2,0,33.66,65.57,9,10,29.25
6,4,1,69.67,62.89,3,9,16.01
4,9,1,17.74,75.06,2,1,20.52
0,7,1,34.08,93.08,4,1,36.14
6,7,0,23.82,37.77,16,4,44.5
10,3,0,5.35,95.85,18,9,69.14
6,4,0,49.3,8.33,4,3,26.35
4,4,0,79.16,78.96,12,5,67.62
9,10,0,99.59,5.59,2,7,20.7
8,10,1,61.82,10.11,6,8,9.24
9,9,1,89.19,14.66,4,6,17.39
6,9,0,75.34,37.63,18,6,49.23
6,10,1,33.03,43.45,12,2,30.92
7,9,0,74.6,58.34,16,9,49.52
7,1,1,43.63,80.21,12,5,48.79
2,4,0,52.31,62.94,13,1,57.84
4,6,1,38.42,73.71,10,10,41.1
7,10,1,64.68,38.83,17,5,38.08
8,4,1,45.32,3.23,8,1,31.44
2,6,1,41.66,58.12,1,10,0.0
7,2,0,4.52,2.64,0,6,5.62
8,6,0,84.21,83.83,1,9,25.78
2,1,0,5.64,86.47,16,5,68.79
4,10,1,37.79,24.11,8,1,23.07
2,4,1,87.82,75.7,1,8,21.28
5,6,0,52.02,85.22,11,5,50.84
10,9,0,13.4,2.88,14,5,37.95
2,7,1,61.73,98.05,17,2,68.38
1,3,0,72.64,54.74,0,8,18.47
9,3,0,94.95,14.71,16,10,45.68
0,4,1,4.59,62.08,1,3,4.51
10,6,1,64.09,18.19,2,3,23.73
10,2,0,19.23,4.09,4,2,17.47
4,6,0,53.44,35.6,13,2,43.43
0,10,0,32.16,9.23,14,9,23.1
10,1,1,86.83,8.45,2,4,25.29
7,6,1,61.83,36.89,1,10,7.83
10,2,1,35.41,39.72,4,10,15.41
6,9,0,21.14,32.75,11,9,27.33
3,10,0,64.88,47.96,3,6,25.93
1,8,1,43.17,12.76,8,5,19.72
1,8,0,98.65,60.58,0,5,18.09
5,5,1,36.54,48.78,10,8,14.27
3,8,0,89.66,57.6,10,4,48.77
5,6,0,49.07,72.29,1,8,30.5
4,6,1,32.37,42.54,0,4,8.77
0,1,1,76.78,8.73,10,4,29.91
5,2,1,13.44,6.34,11,2,16.72
7,2,1,25.46,68.15,16,9,41.77
6,3,1,10.67,85.07,11,2,60.36
4,8,0,93.83,18.12,2,1,25.36
7,9,0,20.16,16.37,20,5,53.63
4,3,0,63.38,90.79,12,10,58.18
6,8,1,89.97,62.41,0,7,13.78
0,9,0,89.96,38.39,13,5,42.99
2,6,1,33.28,73.05,9,4,39.3
0,4,1,89.39,78.86,5,9,22.44
6,1,1,20.45,71.41,4,10,16.58
0,6,1,53.65,37.88,12,8,26.21
7,5,0,22.93,72.23,1,3,43.49
2,4,1,71.62,59.9,19,10,42.04
6,10,1,61.5,91.19,7,2,38.1
8,1,0,72.61,59.3,11,4,51.24
8,6,0,73.64,93.44,10,7,60.6
0,5,0,16.55,18.63,0,6,16.94
4,9,0,33.52,80.29,20,10,59.86
8,3,0,41.45,86.35,5,2,40.87
10,1,1,22.46,45.24,18,6,35.1
7,9,0,16.55,3.39,0,1,3.88
9,2,0,51.52,97.55,8,1,66.35
3,6,1,8.53,99.69,16,7,47.57
6,3,0,79.98,34.94,16,8,49.83
2,2,0,77.55,45.33,1,6,13.36
5,3,0,10.3,33.44,6,3,22.46
9,10,0,64.4,40.87,17,7,48.26
6,3,1,19.61,50.55,7,6,24.88
8,5,0,88.75,55.67,7,2,52.83
3,4,0,14.11,40.64,15,2,51.0
6,10,0,73.59,84.81,15,3,54.95
1,1,0,62.48,33.59,1,3,32.35
6,7,1,83.07,34.52,8,2,29.23
9,6,1,14.01,86.85,13,7,47.02
0,2,0,51.25,74.17,1,9,21.16
10,4,1,52.57,17.17,4,6,11.12
1,5,1,57.65,27.41,16,5,42.13
6,5,1,14.0,26.37,5,8,10.67
1,9,0,17.54,91.44,20,10,48.21
5,1,0,9.03,77.1,20,8,58.79
10,4,0,72.15,61.04,1,7,31.29
4,8,0,26.99,53.98,18,3,56.92
3,1,1,95.52,15.47,8,10,7.3
7,1,0,49.55,68.84,9,9,41.05
6,3,0,7.78,0.23,18,6,29.63
10,1,0,79.0,69.06,16,8,68.54
2,8,0,80.66,65.88,15,6,60.2
8,10,0,4.42,58.83,16,7,50.73
9,5,1,91.55,3.39,20,7,44.41
1,7,0,47.42,86.2,6,3,41.94
1,10,0,3.7,59.63,2,2,22.16
9,7,0,6.54,31.53,16,4,50.08
5,9,0,62.59,88.6,9,2,56.71
2,7,1,35.07,76.72,20,9,50.66
7,9,1,9.17,33.64,19,5,30.5
1,4,1,23.36,4.21,0,5,0.0
8,1,0,67.96,21.83,4,5,26.22
7,8,0,90.37,98.92,6,4,47.68
3,8,1,83.78,23.06,18,10,32.75
8,1,1,77.96,35.01,4,6,19.99
6,1,0,92.78,99.49,9,3,68.8
7,3,1,46.34,62.29,14,9,46.16
8,4,1,86.01,45.74,2,9,15.28
8,5,0,8.7,40.85,14,6,41.19
7,5,1,49.59,8.1,15,5,31.61
2,10,0,34.78,67.8,12,1,54.47
5,8,0,86.82,24.53,15,9,32.8
4,10,1,61.86,75.27,6,5,25.56
10,10,0,2.92,82.58,9,5,39.12
3,2,1,75.66,25.87,1,1,20.2
8,1,1,25.98,63.4,12,3,44.36
6,10,0,96.3,34.19,14,5,42.03
5,4,1,68.79,6.78,16,6,32.04
5,10,1,4.57,87.15,14,4,54.34
10,3,1,75.83,2.46,10,1,30.77
2,10,0,44.59,27.36,3,1,9.99
2,9,0,52.7,82.59,10,4,50.17
3,6,0,27.33,95.09,11,8,50.85
4,5,0,96.45,76.01,4,3,38.37
5,2,0,20.04,86.81,11,2,52.09
10,8,1,18.55,86.86,20,8,59.36
3,7,0,79.68,29.42,2,4,22.93
8,7,0,60.73,24.75,8,6,26.03
5,6,0,26.9,79.76,10,1,50.49
7,5,1,68.05,39.55,14,6,44.29
0,6,0,3.96,48.05,8,1,29.04
8,6,1,21.03,34.6,7,2,25.73
0,9,0,8.25,82.45,6,2,27.15
5,7,1,68.95,80.06,1,10,23.81
5,9,1,61.66,61.29,8,2,39.48
7,8,1,62.53,78.34,14,7,49.61
5,10,1,45.23,64.36,8,10,31.21
10,2,1,59.33,65.03,12,3,45.18
6,5,0,4.37,16.17,5,2,18.64
2,6,0,99.63,97.48,2,10,27.56
5,1,0,46.26,86.83,19,5,70.5
3,4,1,4.01,86.7,8,4,36.3
3,2,0,90.07,42.17,9,3,43.19
